,H.3     EMPLOYMENT RATES¹ AND GROSS MONTHLY STARTING SALARY OF UNIVERSITY GRADUATES FROM NTU,,,,,,,,
," IN FULL-TIME PERMANENT EMPLOYMENT BY DEGREE, 2021",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Degree,Proportion of Graduates in the Labour Force who were,,Basic Monthly Salary4,,Gross Monthly Salary5,,,
,,Employed2,In Full-Time Permanent Employment3,Mean,Median,Mean,Median,25th Percentile,75th Percentile
,College of Business (Nanyang Business School),,,,,,,,
,Accountancy,97.7%,93.0%,"$3,505","$3,300","$3,539","$3,400","$3,100","$3,500"
,Accountancy and Business,99.2%,96.2%,"$5,018","$4,500","$5,173","$4,500","$3,700","$5,858"
,Business,96.2%,85.2%,"$4,211","$4,000","$4,362","$4,000","$3,500","$4,800"
,Double Degree in Business and Computer Engineering/Computing,93.8%,87.5%,"$6,418","$6,300","$6,578","$6,300","$5,250","$8,225"
,College of Engineering,,,,,,,,
,Aerospace Engineering,94.4%,87.3%,"$4,250","$4,250","$4,321","$4,471","$3,792","$5,000"
,Bioengineering,90.9%,75.8%,"$3,480","$3,483","$3,654","$3,500","$3,300","$3,850"
,Chemical and Biomolecular Engineering,91.1%,84.8%,"$3,784","$3,600","$3,959","$3,740","$3,600","$4,300"
,Civil Engineering,97.7%,92.0%,"$3,596","$3,500","$3,664","$3,540","$3,400","$3,800"
,Computer Engineering,95.8%,89.6%,"$4,649","$4,500","$4,847","$4,500","$4,000","$5,000"
,Computer Science,97.0%,91.0%,"$4,871","$4,800","$4,924","$4,800","$4,200","$5,450"
,Double Degree in Engineering and Economics6*,90.9%,90.9%,"$4,485","$4,580","$4,566","$4,583","$4,530","$4,900"
,Electrical and Electronic Engineering,93.9%,88.6%,"$3,978","$3,900","$4,069","$4,000","$3,600","$4,400"
,Environmental Engineering,96.6%,86.2%,"$3,422","$3,500","$3,487","$3,500","$3,200","$3,600"
,Information Engineering and Media,95.7%,88.6%,"$4,247","$4,200","$4,325","$4,200","$3,900","$4,800"
,Maritime Studies,98.4%,95.2%,"$3,697","$3,500","$3,763","$3,500","$3,500","$4,000"
,Materials Engineering,96.3%,83.0%,"$3,701","$3,600","$3,801","$3,650","$3,500","$4,000"
,Mechanical Engineering,94.0%,86.1%,"$3,845","$3,700","$4,006","$3,800","$3,570","$4,400"
,"College of Humanities, Arts & Social Sciences",,,,,,,,
,"Art, Design and Media",86.2%,46.6%,"$3,146","$3,000","$3,182","$3,000","$2,650","$3,675"
,Chinese,87.0%,72.5%,"$3,376","$3,250","$3,483","$3,300","$3,053","$3,650"
,Communication Studies,96.9%,80.8%,"$3,463","$3,375","$3,548","$3,500","$3,000","$3,943"
,Economics,93.5%,88.3%,"$3,658","$3,500","$3,720","$3,650","$3,300","$4,000"
,English,95.5%,64.2%,"$3,254","$3,300","$3,354","$3,500","$3,000","$3,600"
,History,82.2%,66.7%,"$3,724","$3,675","$3,800","$3,675","$3,500","$4,000"
,Inter-Disciplinary Double Major7*,92.9%,75.0%,"$3,794","$3,650","$3,822","$3,650","$3,450","$4,180"
,Linguistics and Multilingual Studies,87.2%,70.2%,"$3,351","$3,300","$3,398","$3,300","$3,000","$3,850"
,Philosophy,88.5%,57.7%,"$3,394","$3,400","$3,502","$3,400","$2,915","$4,480"
,Psychology,91.8%,71.8%,"$3,342","$3,300","$3,362","$3,350","$3,000","$3,500"
,Public Policy and Global Affairs,83.3%,77.1%,"$4,024","$3,778","$4,105","$3,804","$3,500","$4,524"
