Degree,Enrolment number
Bachelor of Arts in Philosophy,174
Bachelor of Social Sciences in Psychology,420
Bachelor of Social Sciences in Sociology,351
Bachelor of Business,2282
Bachelor of Engineering (Computer engineering),364
Bachelor of Engineering (Computer science),1709
Bachelor of Science in Data Science and Artificial Intelligence,232
Bachelor of Engineering (Aerospace engineering),520
Bachelor of Engineering (Chemical and Biomolecular engineering),655
Bachelor of Engineering (Civil),392
Bachelor of Engineering (Electrical and Electronic engineering),1862
Bachelor of Engineering,816
Bachelor of Engineering (Environmental engineering),138
Bachelor of Engineering (Materials engineering),733
Bachelor of Engineering (Mechanical engineering),1696
Bachelor of Engineering Science+ Master of Science in Technology Management (Renaissance engineering),253
Total enrolment for 2021,12597
