Degree,Enrolment number
Bachelor of Laws,900
Bachelor of Social Sciences,1221
Bachelor of Business Administration,2995
Bachelor of Computing in Computer Science,2804
Bachelor of Engineering,33
Bachelor of Engineering (Chemical engineering),968
Bachelor of Engineering (Engineering science),126
Bachelor of Engineering (Environmental engineering),161
Bachelor of Engineering (Materials science & engineering),280
Bachelor of Engineering (Bioengineering),627
Bachelor of Engineering (Civil engineering),509
Bachelor of Engineering (Electrical engineering),781
Bachelor of Engineering (Industrial & systems engineering),303
Bachelor of Engineering (Mechanical engineering),1383
Total enrolment for 2020,13091
